source_dataset_id,dataset_title,original_creators,publisher,version_label,doi,doi_url,license_name,license_url,source_filename,notes
1,Forward football player valuation,Hugo Briseño; José Carlos Rivera,Mendeley Data,V1,10.17632/cgc33scxg7.1,https://doi.org/10.17632/cgc33scxg7.1,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,soccerplayers.xlsx,Reused external source dataset. The group republishes/uses the data but is not the original publisher or rights holder.
2,Transfer Value Determinants,Ronald Nisanov,Mendeley Data,V2,10.17632/3btg6ptc7b.2,https://doi.org/10.17632/3btg6ptc7b.2,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Nisanov_final_data.xlsx,Reused external source dataset. The group republishes/uses the data but is not the original publisher or rights holder.
