"player_id","player_name"
"245","Eddie Nketiah"
"246","Edinson Cavani"
"247","Edon Zhegrova"
"248","Edson alvarez"
"249","El Bilal Touré"
"250","Eli Junior Kroupi"
"251","Elijah Adebayo"
"252","Ellis Simms"
"253","Elye Wahi"
"254","Emanuel Emegha"
"255","Emerson"
"256","Emerson Royal"
"257","Emil Krafth"
"258","Emile Smith Rowe"
"259","Emiliano Buendia"
"260","Emiliano Buendía"
"261","Emmanuel Dennis"
"262","Enda Stevens"
"263","Enes unal"
"264","Enes Ünal"
"265","Enock Mwepu"
"266","Enzo Fernandez"
"267","Eren Dinkci"
"268","Eric Dier"
"269","Erik Lamela"
"270","Erling Haaland"
"271","Ermedin Demirovic"
"272","Ernest Nuamah"
"273","Estêvão"
"274","Ethan Pinnock"
"275","Evan Ferguson"
"276","Evanilson"
"277","Evann Guessand"
"278","Everton"
"279","Ezgjan Alioski"
"280","Ezri Konsa"
"281","Fabian Balbuena"
"282","Fabian Schar"
"283","Fabinho"
"284","Fabio Carvalho"
"285","Fabio Silva"
"286","Fabio Vieira"
"287","Facundo Buonanotte"
"288","Facundo Pellistri"
"289","Facundo Torres"
"290","Faris Moumbagna"
"291","Federico Chiesa"
"292","Federico Fernandez"
"293","Fedor Chalov"
"294","Felipe Anderson"
"295","Fernandinho"
"296","Ferran Jutglà"
"297","Ferran Torres"
"298","Fikayo Tomori"
"299","Florian Lejeune"
"300","Florin Andone"
"301","Folarin Balogun"
"302","Fotis Ioannidis"
"303","Fran Navarro"
"304","Fran Pérez"
"305","Francesco Camarda"
"306","Francisco Conceição"
"307","Franck Honorat"
"308","Franculino"
"309","Frank Onyeka"
"310","Fred"
"311","Fábio Silva"
"312","Gabriel Barbosa"
"313","Gabriel Jesus"
"314","Gabriel Magalhaes"
"315","Gabriel Magalhces"
"316","Gabriel Martinelli"
"317","Gabriel Osho"
"318","Gabriel Pec"
"319","Gabriel Pereira"
"320","Gabriel Veron"
"321","Galeno"
"322","Gareth Bale"
"323","Gary Cahill"
"324","Gaëtan Laborde"
"325","Geny Catamo"
"326","George Baldock"
"327","George Earthy"
"328","George Ilenikhena"
"329","Georges Mikautadze"
"330","Georginio Rutter"
"331","Georginio Wijnaldum"
"332","Georgios Giakoumakis"
"333","Gerard Deulofeu"
"334","Gerard Moreno"
"335","Giacomo Raspadori"
"336","Gianluca Prestianni"
"337","Gianluca Scamacca"
"338","Gift Orban"
"339","Giovani"
"340","Giovani Lo Celso"
"341","Giovanni Simeone"
"342","Glenn Murray"
"343","Goncalo Guedes"
"344","Gonçalo Guedes"
"345","Gorka Guruzeta"
"346","Grady Diangana"
"347","Granit Xhaka"
"348","Grant Hanley"
"349","Gustav Isaksen"
"350","Gustavo Hamer"
"351","Gustavo Nunes"
"352","Gylfi Sigurdsson"
"353","Habib Diallo"
"354","Hakim Ziyech"
"355","Hal Robson-Kanu"
"356","Hamza Choudhury"
"357","Hannibal"
"358","Harrison Reed"
"359","Harry Kane"
"360","Harry Maguire"
"361","Harry Toffolo"
"362","Harry Wilson"
"363","Harvey Barnes"
"364","Harvey Elliott"
"365","Hassane Kamara"
"366","Hector Bellerin"
"367","Hee-chan Hwang"
"368","Helder Costa"
"369","Heung-min Son"
"370","Hirving Lozano"
"371","Hugo Cuypers"
"372","Hugo Duro"
"373","Hugo Ekitiké"
"374","Hákon Arnar Haraldsson"
"375","Ibrahim Osman"
"376","Idrissa Gueye"
"377","Igor Paixão"
"378","Igor Thiago"
"379","Ilias Akhomach"
"380","Iliman Ndiaye"
"381","Ilya Zabarnyi"
"382","Isaac Hayden"
"383","Isaac Romero"
"384","Isi Palazón"
"385","Ismaila Sarr"
"386","Ismaïla Sarr"
"387","Issa Diop"
"388","Issahaku Fatawu"
"389","Ivan Cavaleiro"
"390","Ivan Perisic"
"391","Ivan Toney"
"392","Iñaki Williams"
"393","Jack Clarke"
"394","Jack Cork"
"395","Jack Grealish"
"396","Jack Harrison"
"397","Jack Hinshelwood"
"398","Jack Robinson"
"399","Jack Stephens"
"400","Jacob Brown"
"401","Jacob Bruun Larsen"
"402","Jacob Murphy"
"403","Jacob Ramsey"
"404","Jaden Philogene"
"405","Jadon Sancho"
"406","Jaidon Anthony"
"407","Jairo Riedewald"
"408","Jakub Kiwior"
"409","Jamaal Lascelles"
"410","Jamal Lewis"
"411","James Garner"
"412","James Justin"
"413","James Maddison"
"414","James McAtee"
"415","James Milner"
"416","James Rodriguez"
"417","James Tarkowski"
"418","James Tomkins"
"419","James Ward-Prowse"
"420","Jamie Bynoe-Gittens"
"421","Jamie Leweling"
"422","Jamie Vardy"
"423","Jan Bednarek"
"424","Jan Vertonghen"
"425","Jannik Vestergaard"
"426","Jarell Quansah"
"427","Jarrad Branthwaite"
"428","Jarrod Bowen"
"429","Javi Puado"
"430","Javier Manquillo"
"431","Jay Rodriguez"
"432","Jayden Bogle"
"433","Jean-Mattéo Bahoya"
"434","Jean-Philippe Mateta"
"435","Jean-Ricner Bellegarde"
"436","Jeff Hendrick"
"437","Jefferson Lerma"
"438","Jeffrey Schlupp"
"439","Jeremy Doku"
"440","Jeremy Sarmiento"
"441","Jesper Karlsson"
"442","Jesse Lingard"
"443","Jesús Ferreira"
"444","Jetro Willems"
"445","Jhon Arias"
"446","Jhon Córdoba"
"447","Jhon Duran"
"448","Jhon Durán"
"449","Jimmy Dunne"
"450","Joachim Andersen"
"451","Joao Cancelo"
"452","Joao Felix"
"453","Joao Gomes"
"454","Joao Moutinho"
"455","Joao Palhinha"
"456","Joao Pedro"
"457","Joco Cancelo"
"458","Joco Moutinho"
"459","Joco Pedro"
"460","Joe Aribo"
"461","Joe Bryan"
"462","Joe Gelhardt"
"463","Joe Willock"
"464","Joe Worrall"
"465","Joel Matip"
"466","Joel Veltman"
"467","Joel Ward"
"468","Joelinton"
"469","Johann Berg Gudmundsson"
"470","John Egan"
"471","John Fleck"
"472","John Kennedy"
"473","John Lundstram"
"474","John McGinn"
"475","John Stones"
"476","Jonas Wind"
"477","Jonathan Bamba"
"478","Jonathan Burkardt"
"479","Jonathan Ikoné"
"480","Jonathan Rowe"
"481","Jonjo Shelvey"
"482","Jonny Evans"
"483","Jonny Otto"
"484","Jordan Ayew"
"485","Jordan Clark"
"486","Jordan Henderson"
"487","Jorginho"
"488","Joseph Paintsil"
"489","Josh Brownhill"
"490","Josh Cullen"
"491","Josh Dasilva"
"492","Josh Maja"
"493","Josh Sargent"
"494","Joshua King"
"495","Josip Drmic"
"496","Josko Gvardiol"
"497","José Manuel López"
"498","Jota"
"499","Jota Silva"
"500","João Félix"
"501","Joël Piroe"
"502","Juan Mata"
"503","Julian Alvarez"
"504","Julien Duranville"
"505","Julio Enciso"
"506","Julián Quiñones"
"507","Junior Firpo"
"508","Junior Stanislas"
"509","Junya Ito"
"510","Juraj Kucka"
"511","Justin Kluivert"
"512","Justin Njinmah"
"513","Jérémie Boga"
"514","Jørgen Strand Larsen"
"515","Kai Havertz"
"516","Kalidou Koulibaly"
"517","Kalvin Phillips"
"518","Kamaldeen Sulemana"
"519","Kaoru Mitoma"
"520","Karim Adeyemi"
"521","Karim Benzema"
"522","Karim Konaté"
"523","Karlan Grant"
"524","Kasper Dolberg"
"525","Kayky"
"526","Kean Bryan"
"527","Keane Lewis-Potter"
"528","Keinan Davis"
"529","Keito Nakamura"
"530","Kelechi Iheanacho"
"531","Kenan Yıldız"
"532","Kenny McLean"
"533","Kenny Tete"
"534","Kerem Aktürkoğlu"
"535","Kevin"
"536","Kevin De Bruyne"
"537","Kevin Schade"
"538","Kieffer Moore"
"539","Kieran Dowell"
"540","Kieran Tierney"
"541","Kieran Trippier"
"542","Kiernan Dewsbury-Hall"
"543","Kobbie Mainoo"
"544","Konstantin Tyukavin"
"545","Konstantinos Mavropanos"
"546","Kortney Hause"
"547","Kristoffer Ajer"
"548","Krépin Diatta"
"549","Kurt Zouma"
"550","Kyle Bartley"
"551","Kyle Walker"
"552","Kyle Walker-Peters"
"553","Kyogo Furuhashi"
"554","Kévin Denkey"
"555","Leander Dendoncker"
"556","Leandro Trossard"
"557","Leon Bailey"
"558","Levi Colwill"
"559","Levi García"
"560","Lewis Dobbin"
"561","Lewis Dunk"
"562","Lewis Hall"
"563","Lewis Miley"
"564","Lewis OBrien"
"565","Liam Cooper"
"566","Liam Delap"
"567","Lionel Messi"
"568","Lisandro Martinez"
"569","Lorenz Assignon"
"570","Lorenzo Lucca"
"571","Loum Tchaouna"
"572","Luca Koleosho"
"573","Lucas Beltrán"
"574","Lucas Digne"
"575","Lucas Moura"
"576","Lucas Ocampos"
"577","Lucas Paqueta"
"578","Lucas Torreira"
"579","Luciano Gondou"
"580","Luciano Rodríguez"
"581","Ludovic Blas"
"582","Luis Diaz"
"583","Luis Guilherme"
"584","Luis Henrique"
"585","Luis Sinisterra"
"586","Luiz Henrique"
"587","Luka Ivanusec"
"588","Luka Milivojevic"
"589","Luke Ayling"
"590","Luke Berry"
"591","Luke Shaw"
"592","Luke Thomas"
"593","Lyanco"
"594","Lyle Foster"
"595","Lys Mousset"
"596","Mads Andersen"
"597","Mads Roerslev"
"598","Mahmoud Trezeguet"
"599","Maksim Glushenkov"
"600","Malcom"
"601","Malick Fofana"
"602","Manfred Ugalde"
"603","Manor Solomon"
"604","Manuel Akanji"
"605","Manuel Lanzini"
"606","Marc Albrighton"
"607","Marc Cucurella"
"608","Marc Guehi"
"609","Marc Guiu"
"610","Marc Roca"
"611","Marco Asensio"
"612","Marcos Alonso"
"613","Marcos Leonardo"
"614","Marcos Senesi"
"615","Marcus Edwards"
"616","Marcus Rashford"
"617","Marcus Tavernier"
"618","Marin Ljubicic"
"619","Mario Lemina"
"620","Mario Vrancic"
"621","Mark Noble"
"622","Marquinhos"
"623","Martin Terrier"
"624","Martin odegaard"
"625","Martín Satriano"
"626","Marvin Ducksch"
"627","Mason Greenwood"
"628","Mason Holgate"
"629","Mason Mount"
"630","Matej Jurasek"
"631","Matej Vydra"
"632","Mateo Cassierra"
"633","Mateo Kovacic"
"634","Mateo Retegui"
"635","Mateusz Klich"
"636","Matheus Cunha"
"637","Matheus Martins"
"638","Matheus Nascimento"
"639","Matheus Nunes"
"640","Matheus Pereira"
"641","Matheus Saldanha"
"642","Mathias Jensen"
"643","Mathias Normann"
"644","Mathys Tel"
"645","Matias Vina"
"646","Matt Doherty"
"647","Matt Phillips"
"648","Matt Ritchie"
"649","Matt Targett"
"650","Matteo Politano"
"651","Matthew Lowton"
"652","Mattia Zaccagni"
"653","Matty Cash"
"654","Matty Longstaff"
"655","Matías Arezo"
"656","Matías Soulé"
"657","Mauro Icardi"
"658","Maximilian Beier"
"659","Maximilian Kilman"
"660","Maximiliano Araújo"
"661","Maxwel Cornet"
"662","Mbaye Diagne"
"663","Mehdi Taremi"
"664","Memphis Depay"
"665","Mergim Berisha"
"666","Meschack Elia"
"667","Mesut ozil"
"668","Michael Gregoritsch"
"669","Michael Keane"
"670","Michael Obafemi"
"671","Michael Olise"
"672","Michael Olunga"
"673","Michail Antonio"
"674","Michel-Ange Balikwisha"
"675","Michy Batshuayi"
"676","Micky van de Ven"
"677","Miguel Almiron"
"678","Miguel Almirón"
"679","Mike Trésor"
"680","Mikkel Damsgaard"
"681","Milot Rashica"
"682","Mohamed Amoura"
"683","Mohamed Daramy"
"684","Mohamed Elneny"
"685","Mohamed Elyounoussi"
"686","Mohamed Salah"
"687","Mohamed-Ali Cho"
"688","Mohammed Kudus"
"689","Moise Kean"
"690","Moises Caicedo"
"691","Morgan Gibbs-White"
"692","Morgan Rogers"
"693","Morgan Whittaker"
"694","Moses Simon"
"695","Mostafa Mohamed"
"696","Mousa Tamari"
"697","Moussa Dembélé"
"698","Moussa Diaby"
"699","Moussa Djenepo"
"700","Moussa Niakhate"
"701","Moussa Sissoko"
"702","Musa Barrow"
"703","Mykhaylo Mudryk"
"704","Myrto Uzuni"
"705","NGolo Kante"
"706","Naby Keita"
"707","Nampalys Mendy"
"708","Nat Phillips"
"709","Nathan Ake"
"710","Nathan Collins"
"711","Nathan Fernandes"
"712","Nathan Redmond"
"713","Nathan Tella"
"714","Nayef Aguerd"
"715","Neal Maupay"
"716","Neco Williams"
"717","Nelson Semedo"
"718","Neymar"
"719","Niclas Füllkrug"
"720","Nico González"
"721","Nicolas Dominguez"
"722","Nicolas Jackson"
"723","Nicolas Otamendi"
"724","Nicolas Pepe"
"725","Nicolas Pépé"
"726","Nicolo Zaniolo"
"727","Nikola Vlasic"
"728","Noa Lang"
"729","Noah Okafor"
"730","Noni Madueke"
"731","Nuno Santos"
"732","Nuno Tavares"
"733","Odsonne Edouard"
"734","Ola Aina"
"735","Oleksandr Zinchenko"
"736","Oli McBurnie"
"737","Oliver Burke"
"738","Oliver Norwood"
"739","Oliver Skipp"
"740","Olivier Giroud"
"741","Ollie Watkins"
"742","Omar Marmoush"
"743","Omari Hutchinson"
"744","Onel Hernandez"
"745","Orel Mangala"
"746","Oriol Romeu"
"747","Osame Sahraoui"
"748","Oscar Bobb"
"749","Oussama Idrissi"
"750","Pablo Fornals"
"751","Pablo Sarabia"
"752","Pablo Solari"
"753","Pape Matar Sarr"
"754","Pascal Gross"
"755","Pascal Struijk"
"756","Patrick Bamford"
"757","Patrick Cutrone"
"758","Patrick Wimmer"
"759","Patrick van Aanholt"
"760","Patrik Schick"
"761","Patson Daka"
"762","Pau Torres"
"763","Paul Dummett"
"764","Paul Onuachu"
"765","Paul Pogba"
"766","Paulinho"
"767","Paulo Dybala"
"768","Pedro"
"769","Pedro Neto"
"770","Pedro Porro"
"771","Pepê"
"772","Pervis Estupinan"
"773","Petar Musa"
"774","Phil Foden"
"775","Philip Billing"
"776","Philippe Coutinho"
"777","Pierre Lees-Melou"
"778","Pierre-Emerick Aubameyang"
"779","Pierre-Emile Hojbjerg"
"780","Pontus Jansson"
"781","Rael Jimenez"
"782","Rafa"
"783","Rafa Mujica"
"784","Rafael Borré"
"785","Raheem Sterling"
"786","Ramón Sosa"
"787","Raphael Varane"
"788","Raphinha"
"789","Rasmus Hojlund"
"790","Rasmus Kristensen"
"791","Raul Jimenez"
"792","Rayan Ait-Nouri"
"793","Reece James"
"794","Reiss Nelson"
"795","Ricardo Horta"
"796","Ricardo Pepi"
"797","Ricardo Pereira"
"798","Riccardo Orsolini"
"799","Richarlison"
"800","Rico Henry"
"801","Rico Lewis"
"802","Ritsu Doan"
"803","Riyad Mahrez"
"804","Rob Holding"
"805","Robbie Brady"
"806","Robert Lewandowski"
"807","Robert Snodgrass"
"808","Roberto Firmino"
"809","Roberto Pereyra"
"810","Robin Hack"
"811","Rodri"
"812","Rodrigo"
"813","Rodrigo Bentancur"
"814","Rodrigo Muniz"
"815","Rodrigo Riquelme"
"816","Roger"
"817","Roland Sallai"
"818","Romain Del Castillo"
"819","Romain Perraud"
"820","Romain Saiss"
"821","Romelu Lukaku"
"822","Romeo Lavia"
"823","Rony"
"824","Roony Bardghji"
"825","Ross Barkley"
"826","Ruben Dias"
"827","Ruben Loftus-Cheek"
"828","Ruben Neves"
"829","Rubén Vargas"
"830","Ryan Bertrand"
"831","Ryan Christie"
"832","Ryan Fraser"
"833","Ryan Fredericks"
"834","Ryan Gravenberch"
"835","Ryan Sessegnon"
"836","Ryan Yates"
"837","Róger Guedes"
"838","Sadio Mane"
"839","Sadio Mané"
"840","Said Benrahma"
"841","Salomon Rondon"
"842","Sam Greenwood"
"843","Sam Surridge"
"844","Saman Ghoddos"
"845","Samu Omorodion"
"846","Samuel Chukwueze"
"847","Samuel Edozie"
"848","Samuel Iling-Junior"
"849","Samuel Lino"
"850","Sander Berge"
"851","Sandro Tonali"
"852","Santiago Castro"
"853","Santiago Gimenez"
"854","Sardar Azmoun"
"855","Sasa Kalajdzic"
"856","Sasa Lukic"
"857","Saïd Benrahma"
"858","Scott Dann"
"859","Scott McTominay"
"860","Seamus Coleman"
"861","Sean Longstaff"
"862","Sebastien Haller"
"863","Sekou Mara"
"864","Semi Ajayi"
"865","Semih Kılıçsoy"
"866","Serge Aurier"
"867","Serge Gnabry"
"868","Sergey Pinyaev"
"869","Sergi Canos"
"870","Sergio Aguero"
"871","Sergio Reguilon"
"872","Serhou Guirassy"
"873","Shandon Baptiste"
"874","Shane Duffy"
"875","Shane Long"
"876","Sheraldo Becker"
"877","Silas"
"878","Simon Adingra"
"879","Simon Banza"
"880","Sofiane Diop"
"881","Sokratis Papastathopoulos"
"882","Solly March"
"883","Soufiane Rahimi"
"884","Stefan Bajcetic"
"885","Stephy Mavididi"
"886","Steve Cook"
"887","Steven Alzate"
"888","Steven Bergwijn"
"889","Stuart Armstrong"
"890","Stuart Dallas"
"891","Sven Botman"
"892","Sébastien Haller"
"893","Tahith Chong"
"894","Taiwo Awoniyi"
"895","Takehiro Tomiyasu"
"896","Takumi Minamino"
"897","Tammy Abraham"
"898","Tanguy Ndombele"
"899","Tariq Lamptey"
"900","Taty Castellanos"
"901","Teden Mengi"
"902","Teemu Pukki"
"903","Terem Moffi"
"904","Tete"
"905","Tetê"
"906","Theo Walcott"
"907","Thiago Alcantara"
"908","Thiago Borbas"
"909","Thiago Silva"
"910","Thijs Dallinga"
"911","Thomas Müller"
"912","Thomas Partey"
"913","Tijjani Noslin"
"914","Tim Ream"
"915","Timo Werner"
"916","Timothy Castagne"
"917","Tino Livramento"
"918","Toby Alderweireld"
"919","Todd Cantwell"
"920","Tom Cairney"
"921","Tom Cleverley"
"922","Tom Davies"
"923","Tom Lockyer"
"924","Tomas Cvancara"
"925","Tomas Soucek"
"926","Tosin Adarabioyo"
"927","Toti"
"928","Trent Alexander-Arnold"
"929","Trevoh Chalobah"
"930","Trincco"
"931","Trincão"
"932","Troy Deeney"
"933","Tyler Roberts"
"934","Tyrick Mitchell"
"935","Tyrone Mings"
"936","Umar Sadiq"
"937","Valentino Lazaro"
"938","Vangelis Pavlidis"
"939","Vedat Muriqi"
"940","Veljko Birmancevic"
"941","Victor Boniface"
"942","Victor Lindelof"
"943","Viktor Djukanovic"
"944","Viktor Tsygankov"
"945","Vincent Janssen"
"946","Vincenzo Grifo"
"947","Vini Souza"
"948","Virgil van Dijk"
"949","Vitaliy Mykolenko"
"950","Vitaly Janelt"
"951","Vitinha"
"952","Vitinho"
"953","Vitor Roque"
"954","Vladyslav Vanat"
"955","Wanderson"
"956","Wataru Endo"
"957","Wesley"
"958","Wesley Fofana"
"959","Wesley Moraes"
"960","Wilfred Ndidi"
"961","Wilfried Gnonto"
"962","Wilfried Zaha"
"963","Will Hughes"
"964","William Saliba"
"965","Willian"
"966","Willian Jose"
"967","Willy Boly"
"968","Wilson Odobert"
"969","Wissam Ben Yedder"
"970","Wout Faes"
"971","Wout Weghorst"
"972","Xherdan Shaqiri"
"973","Yankuba Minteh"
"974","Yannick Carrasco"
"975","Yerry Mina"
"976","Yoane Wissa"
"977","Youri Tielemans"
"978","Youssef En-Nesyri"
"979","Youssoufa Moukoko"
"980","Yuri Alberto"
"981","Yves Bissouma"
"982","Yáser Asprilla"
"983","Yéremy Pino"
"984","Zakaria Aboukhlal"
"985","Zanka"
"986","Zeki Amdouni"
"987","Zito Luvumbo"
"988","alex Moreno"
"989","caglar Soyuncu"
"990","ilkay Gundogan"
"991","Álex Berenguer"
"992","Álvaro Djaló"
"993","Álvaro Morata"
"994","Ángel Correa"
"995","Ângelo"
"996","İrfan Can Kahveci"
